Queue Number,Project Number,Project Name,Generation/Fuel 1,NET MW 1,Generation/Fuel 2,NET MW 2,Generation/Fuel 3,NET MW 3,NET MW POI,PROJECT COUNTY,Project State,Study Area,PTO,POI,Voltage kV,Requested COD,Queue Date ,Application Date,Service Type
2224,54674,Energia Sierra Juarez 4,Wind Turbine/Wind,309.1,,,,,299.8,"Tijuana, Mexico",CA,SAN DIEGO,SDGE,EAST COUNTY 230 kV,230,2030-03-31,2025-02-12,2024-11-27,Energy Only Requested
2216,54862,Fika,Storage/Battery,258.47,,,,,250.0,Merced,CA,PG&E FRESNO,PGAE,QUINTO SW STA 230 kV,230,2029-06-30,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2323,54719,Fontus,Storage/Battery,513.99,,,,,500.0,San Bernardino,CA,SCE METRO,SCE,RANCHO VISTA 230 kV,230,2031-03-31,2025-02-12,2024-11-22,Full Capacity Deliverability Status Requested
2209,54643,Fornax,Storage/Battery,103.125,Photovoltaic/Solar,103.125,,,100.0,Fresno,CA,PG&E FRESNO,PGAE,TRANQUILLITY SW STA 230 kV,230,2031-12-01,2025-02-12,2024-11-20,Energy Only Requested
2297,54693,Galadriel,Storage/Battery,317.5,,,,,300.0,Madera,CA,PG&E GBA,PGAE,TESLA 230 kV,230,2031-03-31,2025-02-12,2024-11-22,Full Capacity Deliverability Status Requested
2325,54577,Galicia Storage,Storage/Battery,505.6459,,,,,490.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-10-01,2025-02-12,2024-11-12,Full Capacity Deliverability Status Requested
2300,54629,GAMAY,Photovoltaic/Solar,200.0,Storage/Battery,200.0,,,200.0,KERN,CA,PG&E KERN,PGAE,ARCO-MIDWAY,230,2031-12-31,2025-02-12,2024-11-26,Energy Only Requested
2223,54916,Geras,Photovoltaic/Solar,133.82,Storage/Battery,133.76,,,130.0,Stanislaus County,CA,PG&E FRESNO,PGAE,FINK SW STA 230 kV,230,2028-06-01,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
2273,54768,Goldlink,Photovoltaic/Solar,353.8145,,,,,350.0,Nye,NV,SCE EOP,GLW,LATHROP 230 kV (FUTURE),230,2030-06-01,2025-02-12,2024-11-15,Energy Only Requested
2313,54702,Gosford Solar Storage,Photovoltaic/Solar,304.630524,,,,,300.0,Kern,CA,PG&E KERN,PGAE,BITTERWATER SW STA 230 kV ,230,2029-03-30,2025-02-12,2024-11-21,Energy Only Requested
2238,54945,Grapevine 1,Photovoltaic/Solar,204.58,,,,,200.01,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2031-06-01,2025-02-12,2024-11-18,Energy Only Requested
2368,54832,Green Palms,Photovoltaic/Solar,306.7,,,,,300.62,Riverside,CA,SCE EASTERN,SCE,COLORADO RIVER 230 kV,230,2030-12-31,2025-02-12,2024-11-15,Energy Only Requested
2220,54740,Hacienda,Photovoltaic/Solar,156.525,,,,,150.0,San Bernardino,CA,SCE NOL,SCE,PISGAH 230 kV,230,2030-12-01,2025-02-12,2024-11-20,Energy Only Requested
2262,54725,Helios Grid Reliability,Storage/Battery,205.4504,,,,,199.0,Calaveras,CA,PG&E GBA,PGAE,LOCKEFORD 115 kV,115,2028-09-15,2025-02-12,2024-11-14,Full Capacity Deliverability Status Requested
2327,54703,Hillside Energy Storage,Storage/Battery,1064.748473,,,,,1000.0,Los Angeles,CA,SCE NORTHERN,SCE,VINCENT 230 kV,230,2029-06-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2282,54839,Holly Oaks,Storage/Battery,128.4,,,,,125.0,Calaveras,CA,PG&E GBA,PGAE,VALLEY SPRINGS 230 kV,230,2028-03-01,2025-02-12,2024-12-01,Full Capacity Deliverability Status Requested
2263,54785,Jackrabbit Power Bank,Storage/Battery,307.62,,,,,300.0,Santa Clara,CA,PG&E GBA,PGAE,LOS ESTEROS 115 kV,115,2029-06-01,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
2294,55004,Lagoonez,Storage/Battery,1029.0,,,,,1000.0,Los Angeles,CA,SCE METRO,SCE,LAGUNA BELL 230 kV,230,2028-12-31,2025-02-12,2024-12-02,Full Capacity Deliverability Status Requested
2275,54938,Little Hill,Storage/Battery,63.14,,,,,60.0,San Bernardino,CA,SCE METRO,SCE,MIRA LOMA 230 kV,230,2031-04-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2320,54686,Lupine Energy Center,Storage/Battery,518.0683,,,,,500.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2030-12-26,2025-02-12,2024-12-02,Full Capacity Deliverability Status Requested
2288,54567,Lycan Solar 2,Photovoltaic/Solar,192.2176,,,,,190.0,Riverside,CA,SCE EASTERN,SCE,RED BLUFF 500 kV,500,2028-10-01,2025-02-12,2024-11-21,Energy Only Requested
