project_name,queue_position,fuel_primary,fuel_secondary,fuel_tertiary,net_mw,county,state,utility,pto_study_region,poi_station_or_line,application_status,status,technology,is_withdrawn,is_completed,is_active
,,Solar,,,20.0,FRESNO,CA,PGAE,,Helms-Schindler 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,10.0,FRESNO,CA,PGAE,,Kerman-San Joaquin 70kv,WITHDRAWN,withdrawn,solar,1,0,0
,619.0,Solar,,,14.0,LOS ANGELES,CA,SCE,,Piute-Lancaster 66kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,KERN,CA,PGAE,,Lakeview Sub 70kV bus,WITHDRAWN,withdrawn,solar,1,0,0
,621.0,Solar,,,20.0,IMPERIAL,CA,SDGE,,Imperial Valley Sub 12kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,622.0,Solar,,,10.0,KERN,CA,PGAE,,Temblor-King Ellis 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,623.0,Solar,,,20.0,KERN,CA,SCE,,Cal Cement-Antelope 66kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,10.4,SAN DIEGO,CA,SDGE,,Boulevard Sub 138 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,624.0,Solar,,,20.0,KERN,CA,PGAE,,Maricopa Substation 70 kV bus,WITHDRAWN,withdrawn,solar,1,0,0
,626.0,Solar,,,20.0,KINGS,CA,PGAE,,Henrietta-Guernsey 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,627.0,Solar,,,20.0,LOS ANGELES,CA,SCE,,Neenach-Antelope 66kV,WITHDRAWN,withdrawn,solar,1,0,0
,629.0,Solar,,,20.0,STANISLAUS,CA,PGAE,,Salado-Miller 115kV line,WITHDRAWN,withdrawn,solar,1,0,0
,630.0,Solar,,,4.9,KERN,CA,SCE,,Goldtown Substation 66kV,WITHDRAWN,withdrawn,solar,1,0,0
,631.0,Solar,,,20.0,FRESNO,CA,PGAE,,Strout SW Station 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,STANISLAUS,CA,PGAE,,Salado-Miller 115 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,FRESNO,CA,PGAE,,Stroud switching station 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,634.0,Solar,,,20.0,KINGS,CA,PGAE,,Camden Junction-Lemoore Tap 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,635.0,Solar,,,20.0,MERCED,CA,PGAE,,Oro Loma-Canal 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,638.0,Solar,,,10.0,FRESNO,CA,PGAE,,Coalinga 1-Gates 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,12.0,FRESNO,CA,PGAE,,Coalinga CoGen 70 kV Tap & Tornado Dist,WITHDRAWN,withdrawn,solar,1,0,0
,639.0,Solar,,,20.0,LOS ANGELES,CA,SCE,,Redman-Piute 66kV,WITHDRAWN,withdrawn,solar,1,0,0
,640.0,Solar,,,20.0,KERN,CA,SCE,,Rosamond 66kV - Tap 52,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,FRESNO,CA,PGAE,,Schindler Sub 115 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,MERCED,CA,PGAE,,Oro Loma   115kV,WITHDRAWN,withdrawn,solar,1,0,0
,641.0,Natural Gas,,,11.2,KERN,CA,PGAE,,Midsun-Midway 115 kV,WITHDRAWN,withdrawn,other,1,0,0
,642.0,Solar,,,20.0,GLENN,CA,PGAE,,Elk Creek 60kV Tap,WITHDRAWN,withdrawn,solar,1,0,0
,643.0,Wind Turbine,,,149.5,FRESNO,CA,PGAE,,Los Banos-San Luis PGP #1 230 kV,WITHDRAWN,withdrawn,wind,1,0,0
,,Solar,,,300.0,KERN,CA,PGAE,,Arco Sub 230 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Wind Turbine,,,200.1,LOS ANGELES,CA,SCE,,Antelope Sub 230kV Bus,WITHDRAWN,withdrawn,wind,1,0,0
,,Solar,,,260.0,LOS ANGELES,CA,SCE,,Whirlwind Substation 230kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,750.0,RIVERSIDE,CA,SCE,,Colorado River Sub 220 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Geothermal,,,95.0,INYO,CA,SCE,,Kramer Sub 220kV Bus,WITHDRAWN,withdrawn,other,1,0,0
,,Solar,,,500.0,RIVERSIDE,CA,SCE,,Colorado River Sub 220kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,50.0,INYO,CA,SCE,,Control-Inyokern 115 kV ,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,170.0,RIVERSIDE,CA,SCE,,Red Bluff Sub 230 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,300.0,CLARK,NV,SCE,,Eldorado Sub 220 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Geothermal,,,5.6,CHURCHILL,NV,SCE,,Control Sub 115 kV Bus,WITHDRAWN,withdrawn,other,1,0,0
,,Solar,,,1000.0,YUMA,AZ,SCE,,Palo Verde-Devers #1 500kV ,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,Wind Turbine,,86.0,SAN DIEGO,CA,SDGE,,Boulevard Sub 138kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,200.0,IMPERIAL,CA,SDGE,,Imperial Valley 230 kV Switchyard,WITHDRAWN,withdrawn,solar,1,0,0
,,Wind Turbine,,,16.1,IMPERIAL,CA,SDGE,,Sunrise Powerlink 500 kV ,WITHDRAWN,withdrawn,wind,1,0,0
,,Solar,,,238.0,YUMA,AZ,SDGE,,Hassayampa-North Gila 500kV line,WITHDRAWN,withdrawn,solar,1,0,0
,,Geothermal,,,364.2,CHURCHILL/PERSHING,CA,SCE,,Control Sub 115 kV Bus,WITHDRAWN,withdrawn,other,1,0,0
,,Solar,,,200.0,RIVERSIDE,CA,SCE,,Colorado River Substation,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,242.0,CLARK,NV,SCE,,Mead-Eldorado 230kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Wind Turbine,,,300.0,BAJA CALIFORNIA,MX,SDGE,,Imperial Valley Sub 230 kV Bus,WITHDRAWN,withdrawn,wind,1,0,0
,,Wind Turbine,,,540.0,BAJA CALIFORNIA,MX,SDGE,,ECO Sub 230 kV Bus,WITHDRAWN,withdrawn,wind,1,0,0
,,Solar,,,150.0,KINGS,CA,PGAE,,Angiola Sub 70 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,200.0,FRESNO,CA,PGAE,,Schindler Sub 115 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,220.0,PLACER,CA,PGAE,,Rio Oso-Lockford 230 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,600.0,KINGS,CA,PGAE,,Gates-Gregg 230 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,200.0,FRESNO,CA,PGAE,,Mendota-Dairyland 115 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,1.0,FRESNO,CA,PGAE,,Coalinga #2-Schindler 70 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,289.0,FRESNO,CA,PGAE,,Mendota-San Joaquin-Helm 70 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,Natural Gas,,289.0,FRESNO,CA,PGAE,,Panoche-Schindler #1 & #2 115 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,Natural Gas,,289.0,FRESNO,CA,PGAE,,Panoche-Schindler #1 & #2 115 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,Natural Gas,,169.0,FRESNO,CA,PGAE,,Helm-Stroud Sw Sta 70 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,YOLO,CA,PGAE,,Brighton-Davis 115 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,480.0,KERN/LOS ANGELES,CA,SCE,,Whirlwind Sub 500 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,80.0,KERN,CA,SCE,,Windhub Sub 220 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,320.0,FRESNO,CA,SCE,,Vestal Sub 230 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,500.0,IMPERIAL,CA,SDGE,,Imperial Valley Sub 230 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,250.0,IMPERIAL,CA,SDGE,,Imperial Valley Sub 230 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,80.0,KINGS,CA,PGAE,,Henrietta-Leprino Food 115 kV ,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,150.0,KERN,CA,SCE,,Whirlwind - Windhub 500 kV ,WITHDRAWN,withdrawn,solar,1,0,0
,645.0,Solar,,,20.0,MONTEREY,CA,PGAE,,Jolon 60 kV sub,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,KERN,CA,PGAE,,Weedpatch-Wheeler Ridge 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,646.0,Solar,,,8.0,FRESNO,CA,PGAE,,Chaney #1 115kV Tap,WITHDRAWN,withdrawn,solar,1,0,0
,647.0,Solar,,,20.0,FRESNO,CA,PGAE,,Panoche - Oro Loma 115 KV,WITHDRAWN,withdrawn,solar,1,0,0
,648.0,Solar,,,20.0,FRESNO,CA,PGAE,,Panoche-Oro Loma 115kV Tap,WITHDRAWN,withdrawn,solar,1,0,0
,649.0,Solar,,,11.75,FRESNO,CA,PGAE,,Helm 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,14.0,SOLANO,CA,PGAE,,Dixon-Vaca #2 60kV,WITHDRAWN,withdrawn,solar,1,0,0
,650.0,Solar,,,20.0,FRESNO,CA,PGAE,,Westlands 138 kV Tap,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,LOS ANGELES,CA,SCE,,Lancaster-Purify-Redman 66 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,KINGS,CA,PGAE,,Henrietta-Tulare Lake 70kV line,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,RIVERSIDE,CA,SCE,,Line to be constructed 1 mile south & tie into SCE 69kV,WITHDRAWN,withdrawn,solar,1,0,0
,651.0,Solar,,,15.0,YUBA,CA,PGAE,,Nicolaus-Marysville 60kV,WITHDRAWN,withdrawn,solar,1,0,0
,652.0,Solar,,,20.0,FRESNO,CA,PGAE,,Woodward-Sanger 115kV,WITHDRAWN,withdrawn,solar,1,0,0
,653.0,Solar,,,20.0,KINGS,CA,PGAE,,Arco  70 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,KERN,CA,PGAE,,Arco Sub 70 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,KERN,CA,SCE,,Kern River-Cummings 66kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,SANTA BARBARA,CA,PGAE,,Taft-Cuyama#1 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,FRESNO,CA,PGAE,,Panoche-Mendota 115kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,FRESNO,CA,PGAE,,Helm Sub 70 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,KERN,CA,PGAE,,Midway 230 KV bus via Midway-La Paloma 230kV #1,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,KINGS/KERN,CA,PGAE,,Arco Sub 70 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,SAN DIEGO,CA,SDGE,,Boulevard East Substation 69 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,KERN,CA,SCE,,Cal Cement-Monolith-Windland 66 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,Battery,,12.0,YOLO,CA,PGAE,,Woodland-Davis 115 kV Line,WITHDRAWN,withdrawn,hybrid_solar_storage,1,0,0
,,Solar,,,20.0,LOS ANGELES,CA,SCE,,Lancaster-Little Rock-Piute 66kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,LOS ANGELES,CA,SCE,,Lancaster-Little Rock-Piute 66kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,FRESNO,CA,PGAE,,Mendota - San Joaquin - Helm 70 KV line,WITHDRAWN,withdrawn,solar,1,0,0
,655.0,Solar,,,20.0,KERN,CA,PGAE,,Westpark-Magunden 115 kV,WITHDRAWN,withdrawn,solar,1,0,0
,656.0,Solar,,,10.0,KERN,CA,PGAE,,Taft-Elk Hills 70 kV,WITHDRAWN,withdrawn,solar,1,0,0
,657.0,Solar,,,20.0,BUTTE,CA,PGAE,,Glenn #3 60 kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,LOS ANGELES,CA,SCE,,Antelope-Neenach 66kV,WITHDRAWN,withdrawn,solar,1,0,0
,,Solar,,,20.0,KERN,CA,SCE,,Goldtown-Corum 66 kV,WITHDRAWN,withdrawn,solar,1,0,0
,663.0,Solar,,,20.0,LOS ANGELES,CA,SCE,,Lancaster-Redman-Purify 66KV,WITHDRAWN,withdrawn,solar,1,0,0
,664.0,Solar,,,20.0,LOS ANGELES,CA,SCE,,Piute Sub 66 kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,665.0,Solar,,,5.0,FRESNO,CA,PGAE,,Coalinga #1-Tornado 70kV line; pole number 4/3,WITHDRAWN,withdrawn,solar,1,0,0
,666.0,Solar,,,5.0,CONTRA COSTA,CA,PGAE,,Pittsburg - Kirker - Columbia Steel 115 KV line,WITHDRAWN,withdrawn,solar,1,0,0
,667.0,Solar,,,150.0,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230kV,WITHDRAWN,withdrawn,solar,1,0,0
,668.0,Solar,,,118.0,FRESNO,CA,PGAE,,Mendota 115 kV,WITHDRAWN,withdrawn,solar,1,0,0
,669.0,Wind Turbine,,,502.0,KERN,CA,SCE,,Highwind Substation 230kV Bus,WITHDRAWN,withdrawn,wind,1,0,0
,672.0,Solar,,,51.2,KERN,CA,SCE,,Whirlwind Substation 66kV,WITHDRAWN,withdrawn,solar,1,0,0
,673.0,Solar,,,250.0,MARICOPA,AZ,SDGE,,Hassayampa - N. Gila 500 kV line,WITHDRAWN,withdrawn,solar,1,0,0
,674.0,Solar,,,20.0,KERN,CA,PGAE,,Arco - Polonios Pass 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,675.0,Solar,,,100.0,SAN JOAQUIN,CA,PGAE,,Bellota - Tesla 230 kV Tap,WITHDRAWN,withdrawn,solar,1,0,0
,676.0,Solar,,,30.0,SAN DIEGO,CA,SDGE,,Borrego Substation 69kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,677.0,Geothermal,,,470.0,IMPERIAL,CA,SDGE,,Imperial Valley Sub,WITHDRAWN,withdrawn,other,1,0,0
,680.0,Solar,,,1000.0,KERN,CA,PGAE,,Diablo Canyon - Midway #3 500 KV Line,WITHDRAWN,withdrawn,solar,1,0,0
,681.0,Solar,Wind Turbine,,483.0,KERN,CA,SCE,,SCE Highwind Substation 230kV,WITHDRAWN,withdrawn,solar,1,0,0
,682.0,Solar,,,1.25,FRESNO,CA,PGAE,,Mendota Biomass Tap line 70 KV,WITHDRAWN,withdrawn,solar,1,0,0
,683.0,Solar,,,14.0,FRESNO,CA,PGAE,,Camden Substation 70kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,684.0,Solar,,,7.0,FRESNO,CA,PGAE,,Caruthers - Kingsburg 70kV ,WITHDRAWN,withdrawn,solar,1,0,0
,685.0,Solar,,,45.0,IMPERIAL,CA,SDGE,,Imperial Valley 230 kV bus,WITHDRAWN,withdrawn,solar,1,0,0
,686.0,Solar,,,48.0,RIVERSIDE,CA,SCE,,Colorado River Substation 230kV,WITHDRAWN,withdrawn,solar,1,0,0
,688.0,Solar,,,19.2,KINGS,CA,PGAE,,Henrietta - Lemoore 70 kV,WITHDRAWN,withdrawn,solar,1,0,0
,689.0,Wind Turbine,,,1700.0,LINCOLN,NM,SCE,,Four Corners Sub 345kV Bus,WITHDRAWN,withdrawn,wind,1,0,0
,690.0,Natural Gas,,,300.0,SAN DIEGO,CA,SDGE,,Approx 4 mi south of the Penasquitos sub along the East side of the Penasquitos-Old Town 230kV line,WITHDRAWN,withdrawn,other,1,0,0
,691.0,Solar,,,3.0,SOLANO,CA,PGAE,,Lambie Switching Station 230 KV,WITHDRAWN,withdrawn,solar,1,0,0
,692.0,Geothermal,,,27.0,MINERAL,NV,SCE,,Control Substation 115kV Bus,WITHDRAWN,withdrawn,other,1,0,0
,693.0,Solar,,,38.0,LOS ANGELES,CA,SCE,,Del Sur Substation 66kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,694.0,Solar,,,200.0,RIVERSIDE,CA,SCE,,"Keim Substation, 500kV, 7.1 miles northeast of Colorado River Station",WITHDRAWN,withdrawn,solar,1,0,0
,695.0,Geothermal,,,38.0,CHURCHILL,NV,SCE,,Control Sub 115kV Bus,WITHDRAWN,withdrawn,other,1,0,0
,696.0,Wind Turbine,,,301.35,YOLO,CA,PGAE,,"Cortina - Vaca 230; Delevan - Vaca #1 230 KV, and Delevan - Vaca #2 230 KV",WITHDRAWN,withdrawn,wind,1,0,0
,697.0,Water,,,1400.0,RIVERSIDE,CA,SCE,,Red Bluff Substation 230kV,WITHDRAWN,withdrawn,other,1,0,0
,698.0,Geothermal,,,38.0,CHURCHILL,NV,SCE,,Control Substation 115kV bus,WITHDRAWN,withdrawn,other,1,0,0
,699.0,Solar,,,45.0,SAN DIEGO,CA,SDGE,,Borrego Substation 69kV bus,WITHDRAWN,withdrawn,solar,1,0,0
,700.0,Solar,,,20.0,KERN,CA,SCE,,Rosamond-Del Sur 66kV line,WITHDRAWN,withdrawn,solar,1,0,0
,701.0,Solar,,,28.0,SAN DIEGO,CA,SDGE,,Borrego Substation 69kV,WITHDRAWN,withdrawn,solar,1,0,0
,702.0,Natural Gas,,,435.0,LOS ANGELES,CA,SCE,,El Segundo Substation 230kV Bus,WITHDRAWN,withdrawn,other,1,0,0
,703.0,Solar,,,100.0,FRESNO,CA,PGAE,,Panoche - Oro Loma 115 KV Tap,WITHDRAWN,withdrawn,solar,1,0,0
,704.0,Solar,,,240.0,SAN BERNARDINO,CA,SCE,,Mojave Generating Station 500 kV bus,WITHDRAWN,withdrawn,solar,1,0,0
,706.0,Solar,,,17.9,FRESNO,CA,PGAE,,Giffen Substation 70KV,WITHDRAWN,withdrawn,solar,1,0,0
,707.0,Solar,,,70.0,STANISLAUS,CA,PGAE,,Solado sub 115 KV bus,WITHDRAWN,withdrawn,solar,1,0,0
,708.0,Wind Turbine,,,50.0,ALAMEDA,CA,PGAE,,Tesla - Keslo 230 KV,WITHDRAWN,withdrawn,wind,1,0,0
,710.0,Solar,,,3.0,SOLANO,CA,PGAE,,Lambie Switching Station 230 KV,WITHDRAWN,withdrawn,solar,1,0,0
,711.0,Solar,,,120.0,TULARE,CA,PGAE,,Corcoran-Smyrna 115kV line,WITHDRAWN,withdrawn,solar,1,0,0
,712.0,Natural Gas,,,28.0,LOS ANGELES,CA,SCE,,Harbor Cogeneration Facility ,WITHDRAWN,withdrawn,other,1,0,0
,713.0,Solar,,,400.0,IMPERIAL,CA,SDGE,,Imperial Valley 230kV Sub,WITHDRAWN,withdrawn,solar,1,0,0
,714.0,Solar,,,540.0,NYE,NV,VEA,,Crazy Eye Tap Substation 230kV,WITHDRAWN,withdrawn,solar,1,0,0
,715.0,Solar,,,13.5,KINGS,CA,PGAE,,Jacob Corner Substation 70KV Bus ,WITHDRAWN,withdrawn,solar,1,0,0
,716.0,Solar,,,100.0,RIVERSIDE,CA,SCE,,Colorado River Substation 230kV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,717.0,Solar,,,20.0,KINGS,CA,PGAE,,Arco Sub 70 KV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,718.0,Solar,,,20.0,KINGS,CA,PGAE,,Arco Sub 70 KV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,719.0,Solar,,,3.0,SOLANO,CA,PGAE,,Lambie Switching Station 230 KV,WITHDRAWN,withdrawn,solar,1,0,0
,721.0,Wind Turbine,,,299.0,ALAMEDA,CA,PGAE,,Tesla - Westley 230 KV line,WITHDRAWN,withdrawn,wind,1,0,0
,722.0,Wind Turbine,,,299.0,KERN,CA,SCE,,Windhub Substation 230kV,WITHDRAWN,withdrawn,wind,1,0,0
,724.0,Solar,,,500.0,KINGS,CA,PGAE,,Gates 230 KV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,725.0,Solar,,,90.0,FRESNO,CA,PGAE,,Hammond Sub 115 KV,WITHDRAWN,withdrawn,solar,1,0,0
,726.0,Solar,,,150.0,KERN,CA,PGAE,,Midway - Wheeler Ridge #1 and #2 230 kV,WITHDRAWN,withdrawn,solar,1,0,0
,727.0,Solar,,,150.0,KERN,CA,PGAE,,Midway - Wheeler Ridge #1 & #2 230 kV,WITHDRAWN,withdrawn,solar,1,0,0
,728.0,Solar,,,20.0,KINGS,CA,PGAE,,69 KV   POI is at a designated google coordinates,WITHDRAWN,withdrawn,solar,1,0,0
,729.0,Solar,,,75.0,FRESNO,CA,PGAE,,Mendota Sub 115 KV Bus,WITHDRAWN,withdrawn,solar,1,0,0
,730.0,Solar,,,500.0,RIVERSIDE,CA,SCE,,Colorado River Substation 230kV,WITHDRAWN,withdrawn,solar,1,0,0
,731.0,Solar,,,75.0,FRESNO,CA,PGAE,,Kearney Sub 230 KV,WITHDRAWN,withdrawn,solar,1,0,0
,732.0,Solar,,,200.0,KERN,CA,SCE,,Windhub Substation 230kV bus,WITHDRAWN,withdrawn,solar,1,0,0
,733.0,Wind Turbine,,,150.0,MONTEREY,CA,PGAE,,Coburn Sub 230 KV,WITHDRAWN,withdrawn,wind,1,0,0
,734.0,Wind Turbine,,,250.0,SOLANO,CA,PGAE,,Birds Landing Substation 230 kV ,WITHDRAWN,withdrawn,wind,1,0,0
,735.0,Solar,,,200.0,IMPERIAL ,CA,SDGE,,Imperial Valley Substation 230kV,WITHDRAWN,withdrawn,solar,1,0,0
,736.0,Solar,,,150.0,RIVERSIDE,CA,SCE,,Colorado River Substation 230kV bus,WITHDRAWN,withdrawn,solar,1,0,0
,737.0,Natural Gas,,,4.7,SAN DIEGO,CA,SDGE,,North Island Metering Station 69 kV,WITHDRAWN,withdrawn,other,1,0,0
,739.0,Natural Gas,,,20.0,SAN DIEGO,CA,SDGE,,Otay Mesa Substation ,WITHDRAWN,withdrawn,other,1,0,0
,740.0,Solar,,,270.0,CLARK,NV,VEA,,Crazy Eyes Tap 230kV,WITHDRAWN,withdrawn,solar,1,0,0
,741.0,Wind Turbine,,,3000.0,PLATTE,WY,SCE,,Eldorado Substation 500kV Bus,WITHDRAWN,withdrawn,wind,1,0,0
,742.0,Solar,,,20.0,YOLO,CA,PGAE,,Line Tap to 69 KV - Plainfield,WITHDRAWN,withdrawn,solar,1,0,0
,743.0,Solar,,,100.0,KERN,CA,PGAE,,Morrow Bay - Midway #1 & #2 230 KV,WITHDRAWN,withdrawn,solar,1,0,0
,745.0,Solar,,,20.0,FRESNO,CA,PGAE,,Coalinga - Gates #1 70 KV,WITHDRAWN,withdrawn,solar,1,0,0
,747.0,Solar,,,20.0,KERN,CA,PGAE,,Smyrna - Semitropic - Midway 115 KV,WITHDRAWN,withdrawn,solar,1,0,0
,748.0,Solar,,,20.0,KERN,CA,PGAE,,Smyrna - Semitropic - Midway 115 KV line,WITHDRAWN,withdrawn,solar,1,0,0
,749.0,Solar,,,5.0,KERN,CA,PGAE,,Old River - Kern #1 70 KV,WITHDRAWN,withdrawn,solar,1,0,0
,750.0,Solar,,,20.0,KERN,CA,SCE,,Either Goldtown-Corum or Goldtown-Lancaster 66kV line on Holt St.,WITHDRAWN,withdrawn,solar,1,0,0
,751.0,Solar,,,5.0,FRESNO,CA,PGAE,,Strout SW Station 70kV,WITHDRAWN,withdrawn,solar,1,0,0
,752.0,Solar,,,12.0,KINGS,CA,PGAE,,Guernsey - Henrietta  70 KV,WITHDRAWN,withdrawn,solar,1,0,0
,753.0,Solar,,,3.0,FRESNO,CA,PGAE,,Gates - Coalinga #1 70 KV,WITHDRAWN,withdrawn,solar,1,0,0
,754.0,Solar,,,300.0,RIVERSIDE,CA,SCE,,220kV Red Bluff Substation,WITHDRAWN,withdrawn,solar,1,0,0
,755.0,Solar,,,20.0,FRESNO,CA,PGAE,,Gates - Coalinga #1 70 KV,WITHDRAWN,withdrawn,solar,1,0,0
,756.0,Solar,,,60.0,SAN DIEGO,CA,SDGE,,Borrego substation 69kV,WITHDRAWN,withdrawn,solar,1,0,0
,757.0,Solar,,,20.0,FRESNO,CA,PGAE,,Gates - Coalinga #1 70 KV,WITHDRAWN,withdrawn,solar,1,0,0
,758.0,Solar,,,19.98,KERN,CA,SCE,,Goldtown-Corum or Goldtown-Lancaster 66kV line,WITHDRAWN,withdrawn,solar,1,0,0
,759.0,Solar,,,20.0,FRESNO,CA,PGAE,,Gates - Coalinga #1 70 KV,WITHDRAWN,withdrawn,solar,1,0,0
,760.0,Solar,,,20.0,KERN,CA,PGAE,,Smyrna - Semitropic - Midway #1 115 KV,WITHDRAWN,withdrawn,solar,1,0,0
,761.0,Solar,,,20.0,KERN,CA,SCE,,Cal Cement-Antelope 66kV line,WITHDRAWN,withdrawn,solar,1,0,0
,762.0,Solar,,,70.0,CONTRA COSTA,CA,PGAE,,Contra Costa-Delta SW Yard 230kV,WITHDRAWN,withdrawn,solar,1,0,0
,763.0,Solar,,,20.0,FRESNO,CA,PGAE,,Stroud SW Sta   70 KV,WITHDRAWN,withdrawn,solar,1,0,0
,764.0,Wind Turbine,,,508.0,ENSENADA,MX,SDGE,,Imperial Valley Substation 500kV Bus,WITHDRAWN,withdrawn,wind,1,0,0
,765.0,Solar,,,30.0,STANISLAUS,CA,PGAE,,Salado - Newman 60 KV,WITHDRAWN,withdrawn,solar,1,0,0
,766.0,Solar,,,150.0,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230kV bus,WITHDRAWN,withdrawn,solar,1,0,0
,767.0,Wind Turbine,,,400.0,KERN,CA,SCE,,Highwind Substation 230kV bus,WITHDRAWN,withdrawn,wind,1,0,0
,770.0,Solar,,,1080.0,IMPERIAL,CA,SDGE,,ECO Sub 230kV,WITHDRAWN,withdrawn,solar,1,0,0
,771.0,Solar,,,14.0,LOS ANGELES,CA,SCE,,Plute-Lancaster 66kV line,WITHDRAWN,withdrawn,solar,1,0,0
,772.0,Solar,,,100.0,SAN JOAQUIN,CA,PGAE,,Stanislaus - Manteca #2 115 kV Line,WITHDRAWN,withdrawn,solar,1,0,0
,773.0,Solar,,,18.0,GLENN,CA,PGAE,,Elk Creek 60 KV Tap,WITHDRAWN,withdrawn,solar,1,0,0
,774.0,Geothermal,,,38.0,CHURCHILL,NV,SCE,,Control Substation 115 kV bus,WITHDRAWN,withdrawn,other,1,0,0
,776.0,Solar,,,25.0,KINGS,CA,PGAE,,Tulare Lake - Arco 70 KV,WITHDRAWN,withdrawn,solar,1,0,0
,777.0,Natural Gas,,,400.0,KERN,CA,SCE,,Pastoria-Magunden 230kV line,WITHDRAWN,withdrawn,other,1,0,0
