project_name,queue_position,fuel_primary,fuel_secondary,fuel_tertiary,net_mw,county,state,utility,pto_study_region,poi_station_or_line,application_status,status,technology,is_withdrawn,is_completed,is_active
ARATINA SOLAR CENTER 1,1204.0,Solar,Battery,,200.0,SAN BERNARDINO,CA,SCE,NOL,Kramer Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
SIENNA SOLAR FARM,1207.0,Solar,Battery,,200.0,SAN BERNARDINO,CA,SCE,NOL,Calcite Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
ANTELOPE SOLAR 2,1208.0,Battery,Solar,,650.0,LOS ANGELES,CA,SCE,Northern,Antelope Substation 220kV,ACTIVE,active,hybrid_solar_storage,0,0,1
GOLDEN FIELDS SOLAR,1212.0,Battery,Battery,,100.0,KERN,CA,SCE,Northern,Whirlwind Substation 220kV ,ACTIVE,active,storage,0,0,1
WILLOW SPRINGS SOLAR 4,1217.0,Battery,,,75.0,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,ACTIVE,active,storage,0,0,1
AGUA CALIENTE SOLAR 2,1222.0,Solar,,,20.0,MARICOPA,AZ,SDGE,SDGE,Hoodoo Wash Switchyard 500 kV,ACTIVE,active,solar,0,0,1
DAYLIGHT,1223.0,Solar,Battery,,300.0,KINGS,CA,PGAE,Fresno,Mustang 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
PLUOT,1242.0,Solar,Battery,,246.4,KINGS,CA,PGAE,Fresno,Gates 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
POMEGRANATE,1243.0,Solar,Battery,,249.7,KINGS,CA,PGAE,Fresno,Gates 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
KYAN SOLAR,1260.0,Solar,,,100.0,KERN,CA,PGAE,Kern,Midway-Wheeler Ridge #2 230 kV Line,ACTIVE,active,solar,0,0,1
CORBY,1270.0,Battery,,,300.0,SOLANO,CA,PGAE,Northern,Vaca-Dixon 230 kV,ACTIVE,active,storage,0,0,1
MULQUEENEY RANCH WIND,1277.0,Wind Turbine,,,20.0,ALAMEDA,CA,PGAE,Northern,Tesla 230 kV,ACTIVE,active,wind,0,0,1
DAGGETT SOLAR 3,1314.0,Solar,Battery,,300.0,SAN BERNARDINO,CA,SCE,NOL,Kramer Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
SOLAR STAR 3,1322.0,Battery,Solar,,24.0,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
SOLAR STAR 4,1323.0,Battery,Solar,,24.0,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
PASTORIA SOLAR,1335.0,Solar,Battery,,105.2,KERN,CA,SCE,Northern,Pastoria Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
TAHOE,1339.0,Battery,,,300.0,CLARK,NV,SCE,EOP,SCE owned Eldorado Bus 230kV,ACTIVE,active,storage,0,0,1
ROCCASECCA BESS,1347.0,Battery,,,303.0,CLARK,NV,GLW,,Sloan Canyon Switching Station 230kV,ACTIVE,active,storage,0,0,1
ARAMIS POWER PLANT,1349.0,Solar,Battery,,100.0,ALAMEDA,CA,PGAE,Northern,Cayetano 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
