source,sheet_outcome,pto,affected_pto,study_area,poi,tech_1,mw_1,tech_2,mw_2,tech_3,mw_3,mw_poi,status_raw
cluster14,intake_snapshot,SCE,,Metro,Center Substation,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,SCE,,Metro,Villa Park Substation,storage,250.0,,,,,250.0,
cluster14,intake_snapshot,SCE,,Metro,Laguna Bell Substation,storage,307.0,solar,307.0,,,300.0,
cluster14,intake_snapshot,SCE,,Metro,Etiwanda Substation,storage,1600.0,,,,,1600.0,
cluster14,intake_snapshot,SCE,,Metro,Wildlife Substation,storage,200.0,,,,,200.0,
cluster14,intake_snapshot,SCE,,Metro,Johanna Substation,storage,102.26,,,,,100.0,
cluster14,intake_snapshot,SCE,,Metro,Mesa Substation,storage,252.0,,,,,252.0,
cluster14,intake_snapshot,SCE,,Metro,Mira Loma Substation,storage,403.5,,,,,400.0,
cluster14,intake_snapshot,SCE,,Metro,La Cienega Substation,storage,504.2,,,,,500.0,
cluster14,intake_snapshot,SCE,,Metro,Rio Hondo Substation,storage,302.4,,,,,300.0,
cluster14,intake_snapshot,SCE,,Metro,Barre Substation,storage,302.4,,,,,300.0,
cluster14,intake_snapshot,SCE,,Metro,Mira Loma-Chino line,storage,550.0,,,,,550.0,
cluster14,intake_snapshot,SCE,,Metro,Mira Loma Substation,storage,204.5175,,,,,200.0,
cluster14,intake_snapshot,SCE,,Metro,Laguna Bell Substation,storage,102.26,,,,,100.0,
cluster14,intake_snapshot,SCE,,Metro,Alamitos Substation,storage,241.5,,,,,236.0,
cluster14,intake_snapshot,SCE,,Metro,Etiwanda Substation,storage,252.0,,,,,250.0,
cluster14,intake_snapshot,SCE,,Metro,Walnut Substation,storage,200.0,,,,,200.0,
cluster14,intake_snapshot,SCE,,Metro,Chino Substation,storage,150.0,,,,,150.0,
cluster14,intake_snapshot,SCE,,Metro,Sylmar-Gould line,storage,171.738,,,,,163.0,
cluster14,intake_snapshot,SCE,,Metro,Hinson Substation,storage,300.0,,,,,300.0,
cluster14,intake_snapshot,SCE,,Metro,Mira Loma Substation,storage,312.96,,,,,300.0,
cluster14,intake_snapshot,SCE,,Metro,Mira Loma Substation,solar,512.58,,,,,500.0,
cluster14,intake_snapshot,SCE,,Metro,Serrano Substation,storage,300.0,,,,,300.0,
cluster14,intake_snapshot,SCE,,Metro,Laguna Bell Substation,storage,256.29,,,,,250.0,
cluster14,intake_snapshot,SCE,GLW/VEA,EOP,Mohave Substation,storage,250.0,solar,250.0,,,250.0,
cluster14,intake_snapshot,SCE,GLW/VEA,EOP,Eldorado Substation (SCE owned portion),storage,256.29,,,,,250.0,
cluster14,intake_snapshot,GLW,VEA/SCE,EOP,Gamebird Substation,storage,516.7638,solar,516.7638,,,500.0,
cluster14,intake_snapshot,GLW,VEA/SCE,EOP,Desert View Substation,storage,350.0,solar,350.0,,,350.0,
cluster14,intake_snapshot,GLW,VEA/SCE,EOP,Trout Canyon Substation,storage,500.0,solar,500.0,,,500.0,
cluster14,intake_snapshot,GLW,VEA/SCE,EOP,Trout Canyon Substation,storage,508.56,solar,508.56,,,500.0,
cluster14,intake_snapshot,GLW,VEA/SCE,EOP,Trout Canyon Substation,storage,307.0,solar,307.0,,,300.0,
cluster14,intake_snapshot,VEA,GLW/SCE,EOP,Valley Switch- Lathrop Wells line,storage,500.0,solar,500.0,,,500.0,
cluster14,intake_snapshot,VEA,GLW/SCE,EOP,Beatty Substation,Steam Turbine,530.0,,,,,427.0,
cluster14,intake_snapshot,VEA,GLW/SCE,EOP,Beatty Substation,storage,508.56,,,,,500.0,
cluster14,intake_snapshot,VEA,GLW/SCE,EOP,Vista Substation,storage,110.79,solar,223.32,,,220.0,
cluster14,intake_snapshot,SDGE,,SDGE,Chicarita Substation,storage,300.0,,,,,300.0,
cluster14,intake_snapshot,SDGE,,SDGE,Loveland Substation,storage,100.65,,,,,100.0,
cluster14,intake_snapshot,SDGE,,SDGE,Suncrest Substation,storage,312.96,,,,,300.0,
cluster14,intake_snapshot,SDGE,,SDGE,Bernardo Substation,storage,150.0,,,,,150.0,
cluster14,intake_snapshot,SDGE,,SDGE,Border Substation,storage,100.0,,,,,100.0,
cluster14,intake_snapshot,SDGE,,SDGE,Suncrest-Ocotillo line,storage,313.919228,wind,105.8,,,400.0,
cluster14,intake_snapshot,SDGE,,SDGE,Otay Mesa Substation,storage,312.96,,,,,300.0,
cluster14,intake_snapshot,SDGE,,SDGE,Otay Mesa Substation,storage,615.756,,,,,600.0,
cluster14,intake_snapshot,SDGE,,SDGE,North Gila-Imperial Valley line,storage,1182.38,solar,1182.38,,,1150.0,
cluster14,intake_snapshot,SDGE,,SDGE,ECO Substation,wind,940.8,,,,,900.0,
cluster14,intake_snapshot,SDGE,,SDGE,Miguel Substation,storage,200.0,,,,,200.0,
cluster14,intake_snapshot,SDGE,,SDGE,Border Substation,storage,51.52,,,,,50.0,
cluster14,intake_snapshot,SDGE,,SDGE,Silvergate Substation,storage,213.5487,,,,,200.0,
cluster14,intake_snapshot,SDGE,,SDGE,Otay Mesa Substation,storage,256.29,,,,,250.0,
cluster14,intake_snapshot,SDGE,,SDGE,Miguel Substation,storage,51.4,,,,,50.0,
cluster14,intake_snapshot,SDGE,,SDGE,Encina Substation,storage,300.0,,,,,300.0,
cluster14,intake_snapshot,SDGE,,SDGE,ESCO Substation,storage,150.0,,,,,150.0,
cluster14,intake_snapshot,SDGE,,SDGE,Scripps Substation,storage,71.199,,,,,70.0,
cluster14,intake_snapshot,SDGE,,SDGE,Spring Valley Substation,storage,81.5,,,,,80.0,
cluster14,intake_snapshot,SDGE,,SDGE,Border Substation,storage,154.6,,,,,150.0,
cluster14,intake_snapshot,SDGE,,SDGE,Hoodoo Wash-Hassayampa line,storage,823.85,solar,823.85,,,800.0,
cluster14,intake_snapshot,SDGE,,SDGE,Suncrest Substation,storage,308.2086,,,,,300.0,
cluster14,intake_snapshot,SDGE,,SDGE,Otay Mesa Substation,storage,100.0,,,,,100.0,
cluster14,intake_snapshot,SDGE,,SDGE,Boulevard East Substation,solar,82.8,,,,,80.0,
cluster14,intake_snapshot,SDGE,,SDGE,Boulevard East Substation,storage,206.31,,,,,200.0,
cluster14,intake_snapshot,SDGE,,SDGE,Border-Border Tap line,storage,100.0,,,,,100.0,
cluster14,intake_snapshot,SDGE,,SDGE,Jamacha-Miguel line,storage,150.0,,,,,150.0,
cluster14,intake_snapshot,SDGE,,SDGE,Otay Lake Substation,storage,102.04,,,,,100.0,
cluster14,intake_snapshot,SDGE,,SDGE,Rancho Mission Viejo Substation,storage,300.0,,,,,300.0,
cluster14,intake_snapshot,SDGE,,SDGE,Hassayampa-North Gila line,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,SDGE,,SDGE,Talega Substation,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,SDGE,,SDGE,Friars Substation,storage,51.208,,,,,50.0,
cluster14,intake_snapshot,SDGE,,SDGE,Carrizo Gorge Switchyard,storage,150.0,,,,,150.0,
cluster14,intake_snapshot,SDGE,,SDGE,Hoodoo Wash Substation,storage,300.0,solar,300.0,,,300.0,
cluster14,intake_snapshot,SDGE,,SDGE,San Luis Rey Substation,storage,256.29,,,,,250.0,
cluster14,intake_snapshot,SDGE,,SDGE,Trabuco Substation,storage,300.0,,,,,300.0,
cluster14,intake_snapshot,SDGE,,SDGE,Imperial Valley Substation,solar,300.0,,,,,300.0,
cluster14,intake_snapshot,SDGE,,SDGE,Chicarita Substation,storage,101.9,,,,,100.0,
cluster14,intake_snapshot,SDGE,,SDGE,Ocean Ranch Substation,storage,105.0,,,,,100.0,
cluster14,intake_snapshot,SDGE,,SDGE,Carlton Hills Substation,storage,261.0,,,,,250.0,
cluster14,intake_snapshot,SDGE,,SDGE,Imperial Valley Substation,storage,632.5,,,,,600.0,
cluster14,intake_snapshot,PGE,,Kern,Solar Switching Station,storage,65.55,solar,131.68,,,130.0,
cluster14,intake_snapshot,PGE,,Kern,Hollister Line,storage,101.5,,,,,101.5,
cluster14,intake_snapshot,PGE,,Kern,Wheeler Ridge Substation,storage,50.0,solar,98.0,,,98.0,
cluster14,intake_snapshot,PGE,,Kern,7th Standard Substation,storage,83.0,,,,,82.9,
cluster14,intake_snapshot,PGE,,Fresno,Alpaugh Substation,solar,196.56,,,,,190.0,
cluster14,intake_snapshot,PGE,,Fresno,Alpaugh Substation,storage,268.6432,solar,270.0534,,,250.0,
cluster14,intake_snapshot,PGE,,Fresno,Alpaugh Substation,storage,153.5,solar,153.5,,,150.0,
cluster14,intake_snapshot,PGE,,NGBA,Apple Hill Substation,storage,60.0,,,,,60.0,
cluster14,intake_snapshot,PGE,,NGBA,Rio Oso - Table Mountain Line,storage,88.0,solar,162.0,,,250.08,
cluster14,intake_snapshot,PGE,,Kern,Arco Substation,storage,412.336,solar,412.336,,,400.0,
cluster14,intake_snapshot,PGE,,Kern,Arco Substation,storage,150.0,solar,150.0,,,150.0,
cluster14,intake_snapshot,PGE,,Kern,Arco - Carneras Line,storage,30.0,,,,,30.0,
cluster14,intake_snapshot,PGE,,Kern,Bear Mountain - Bear Mountain Tap Line,storage,101.85577,,,,,100.0,
cluster14,intake_snapshot,PGE,,GBA,Bellota Substation,storage,407.85,solar,407.85,,,400.0,
cluster14,intake_snapshot,PGE,,NGBA,Bellota Substation,storage,213.55,,,,,200.0,
cluster14,intake_snapshot,PGE,,NGBA,Bellota Substation,storage,356.592,solar,357.396,,,350.0,
cluster14,intake_snapshot,PGE,,NGBA,Bellota Substation,storage,315.96,,,,,300.0,
cluster14,intake_snapshot,PGE,,NGBA,Bellota Substation,storage,257.72,solar,257.72,,,250.0,
cluster14,intake_snapshot,PGE,,GBA,Bellota Substation,storage,102.6,,,,,100.0,
cluster14,intake_snapshot,PGE,,GBA,"Berranda ""C"" Tap Line",solar,113.832,,,,,110.0,
cluster14,intake_snapshot,PGE,,NGBA,Birds Landing Substation,storage,110.84,,,,,100.0,
