pto,affected_pto,area,total_mw_at_poi,tech_1,mw_t1,tech_2,mw_t2,tech_3,mw_t3,poi,voltage_kv,tech_1_norm,tech_2_norm,tech_3_norm,technology,net_mw
SCE,,Northern,400.0,Battery,407.63,Solar PV,407.63,,,Whirlwind-Windhub line,500.0,Battery,Solar,,Hybrid (Solar+Storage),400.0
SCE,,Northern,200.0,Battery,213.55,,,,,Vestal Substation,230.0,Battery,,,Battery,200.0
SCE,,NOL,200.0,Battery,206.091,Solar PV,206.091,,,Kramer-Victor line,230.0,Battery,Solar,,Hybrid (Solar+Storage),200.0
SCE,,NOL,400.0,Battery,400.0,,,,,Kramer-Lugo #1 line,220.0,Battery,,,Battery,400.0
SCE,,NOL,55.0,Battery,55.0,Solar PV,55.0,,,Calcite Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),55.0
SCE,,NOL,200.0,Battery,200.0,Solar PV,200.0,,,Pisgah Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),200.0
SCE,,NOL,200.0,Battery,200.0,Solar PV,200.0,,,Victor Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),200.0
SCE,,NOL,200.0,Battery,200.0,Solar PV,200.0,,,Victor-Lugo line,500.0,Battery,Solar,,Hybrid (Solar+Storage),200.0
SCE,,NOL,200.0,Battery,200.0,Solar PV,200.0,,,Kramer Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),200.0
SCE,,NOL,400.0,Battery,404.25,,,,,Victorville Substation,230.0,Battery,,,Battery,400.0
SCE,,NOL,300.0,Battery,312.96,Solar PV,312.96,,,Pisgah Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),300.0
SCE,,NOL,400.0,Battery,410.76,,,,,Victor Substation,230.0,Battery,,,Battery,400.0
SCE,,NOL,500.0,Battery,512.58,,,,,Lugo Substation,500.0,Battery,,,Battery,500.0
SCE,,NOL,500.0,Battery,500.0,,,,,Mira Loma-Vista line,230.0,Battery,,,Battery,500.0
SCE,,NOL,311.0,Steam Turbine,391.0,,,,,Control Substation,115.0,Other,,,Other,311.0
SCE,,NOL,150.0,Wind Turbine,150.0,,,,,Lugo-Pisgah line,230.0,Wind,,,Wind,150.0
SCE,,NOL,150.0,Solar PV,150.0,Wind Turbine,150.0,,,Kramer Substation,230.0,Solar,Wind,,Hybrid (Other),150.0
SCE,,Metro,400.0,Battery,400.0,,,,,Hinson Substation,230.0,Battery,,,Battery,400.0
SCE,,Metro,200.0,Battery,200.0,,,,,La Cienega Substation,230.0,Battery,,,Battery,200.0
SCE,,Metro,400.0,Battery,400.0,,,,,Lighthipe Substation,230.0,Battery,,,Battery,400.0
SCE,,Metro,400.0,Battery,400.0,,,,,Mira Loma Substation,230.0,Battery,,,Battery,400.0
SCE,,Metro,400.0,Battery,400.0,,,,,Rio Hondo Substation,230.0,Battery,,,Battery,400.0
SCE,,Metro,400.0,Battery,400.0,,,,,Chino Substation,230.0,Battery,,,Battery,400.0
SCE,,Metro,400.0,Battery,400.0,,,,,La Cienega Substation,230.0,Battery,,,Battery,400.0
SCE,,Metro,400.0,Battery,400.0,,,,,Walnut Substation,230.0,Battery,,,Battery,400.0
SCE,,Metro,400.0,Battery,400.0,,,,,El Nido Substation,230.0,Battery,,,Battery,400.0
SCE,,Metro,400.0,Battery,400.0,,,,,Etiwanda Substation,230.0,Battery,,,Battery,400.0
SCE,,Metro,400.0,Battery,400.0,,,,,Center Substation,230.0,Battery,,,Battery,400.0
SCE,,Metro,250.0,Battery,250.0,,,,,Villa Park Substation,230.0,Battery,,,Battery,250.0
SCE,,Metro,300.0,Battery,307.0,Solar PV,307.0,,,Laguna Bell Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),300.0
SCE,,Metro,1600.0,Battery,1600.0,,,,,Etiwanda Substation,230.0,Battery,,,Battery,1600.0
SCE,,Metro,200.0,Battery,200.0,,,,,Wildlife Substation,230.0,Battery,,,Battery,200.0
SCE,,Metro,100.0,Battery,102.26,,,,,Johanna Substation,230.0,Battery,,,Battery,100.0
