Project Name,Queue Position,"Interconnection Request
Receive Date",Queue Date,Application Status,"Study
Process",Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,"Proposed
On-line Date
(as filed with IR)","Current
On-line Date",Suspension Status,Feasibility Study or Supplemental Review,"System Impact Study or 
Phase I Cluster Study","Facilities Study (FAS) or 
Phase II Cluster Study","Optional Study
(OS)","Interconnection Agreement 
Status",status,"Actual
On-line Date",Project Name - Confidential,Withdrawn Date,Reason for Withdrawal
CMS2 (FKA BOULDER CITY PV),503,2009-07-28 00:00:00,2009-07-31 07:00:00,COMPLETED,C01,Photovoltaic,,,Solar,,,155,,,155,Full Capacity,,Off-Peak Deliverability,,CLARK,NV,SDGE,,Merchant Switchyard 230 kV,2016-01-01 08:00:00,,,,Complete,Complete,,Executed,completed,2015-06-14 07:00:00,,,
EL CAJON ENERGY CENTER,509,2009-07-31 00:00:00,2009-07-31 07:00:00,COMPLETED,C01,Combustion Turbine,,,Natural Gas,,,49.9,,,49.9,Full Capacity,,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,,El Cajon Substation 69 kV,2010-06-15 07:00:00,,,,Complete,,,Executed,completed,2010-10-31 07:00:00,,,
IV SUBSTATION SOUTH,510,2009-07-31 00:00:00,2009-07-31 07:00:00,COMPLETED,C01,Photovoltaic,,,Solar,,,130,,,130,Full Capacity,,Off-Peak Deliverability,,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,2012-07-01 07:00:00,,,,Complete,Complete,,Executed,completed,2013-10-11 07:00:00,,,
OLD RIVER 1,517,2009-08-19 00:00:00,2009-08-19 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,KERN,CA,PGAE,,Kern-Old River #1 70kV line,2012-12-31 08:00:00,,,,Facilities Study,SGIA,,Executed,completed,2014-12-30 08:00:00,,,
PAIGE SOLAR ,526,2009-09-11 00:00:00,2009-09-11 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Energy Only,,Off-Peak Deliverability,,FRESNO,CA,PGAE,,Schindler-Coalinga #2 70kV line,2012-01-01 08:00:00,,,,Facilities Study,SGIA,,Executed,completed,2017-03-09 08:00:00,,,
FRESHWATER SOLAR GENERATING FACILITY (FKA SWEETWATER PV 20MVA SOLAR GENERATING FACILITY),529,2009-10-19 00:00:00,2009-10-19 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Energy Only,,Off-Peak Deliverability,,KINGS,CA,PGAE,,Corcoran- Kingsburg #1 115kV line,2013-08-01 07:00:00,,,,Facilities Study,SGIA,,Executed,completed,2016-01-15 08:00:00,,,
WHITNEY POINT SOLAR,532,2009-11-02 00:00:00,2009-11-02 08:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Energy Only,,Off-Peak Deliverability,,FRESNO,CA,PGAE,,Schindler-Huron-Gates 70kV line,2012-01-01 08:00:00,,,,Facilities Study,SGIA,,Executed,completed,2017-04-15 07:00:00,,,
VEGA SOLAR (FKA: FRV VEGA SOLAR),548,2009-11-19 00:00:00,2010-01-15 08:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Energy Only,,Off-Peak Deliverability,,KINGS,CA,PGAE,,Mercy Springs Substation 70kV,2011-10-31 07:00:00,,,,Facilities Study,SGIA,,Executed,completed,2015-03-23 07:00:00,,,
WHITE RIVER 2 (FKA:WHITE RIVER WEST 19.75 MW PV GENERATION FACILTY),557,2010-01-27 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Photovoltaic,,,Solar,,,19.75,,,19.75,Full Capacity,,Off-Peak Deliverability,,TULARE,CA,PGAE,,Smyrna-Alpaugh 115kV line,2013-04-01 07:00:00,,,,Complete,Complete,,Executed,completed,2014-10-01 07:00:00,,,
CORCORAN 2 GENERATING FACILITY (FKA: CORCORAN WEST 19.75 MW PV GENERATION FACILTY),558,2010-01-27 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Photovoltaic,,,Solar,,,19.75,,,19.75,Full Capacity,,Off-Peak Deliverability,,KINGS,CA,PGAE,,Corcoran-Kingsburg #2 115kV,2013-06-01 07:00:00,,,,Complete,Complete,,Executed,completed,2015-05-20 07:00:00,,,
