Project Name,Queue Position,"Interconnection Request
Receive Date",Queue Date,Application Status,"Study
Process",Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,"Proposed
On-line Date
(as filed with IR)","Current
On-line Date",Suspension Status,Feasibility Study or Supplemental Review,"System Impact Study or 
Phase I Cluster Study","Facilities Study (FAS) or 
Phase II Cluster Study","Optional Study
(OS)","Interconnection Agreement 
Status",status,"Actual
On-line Date",Project Name - Confidential,Withdrawn Date,Reason for Withdrawal
EL NIDO,76,2005-04-28 00:00:00,2005-07-15 07:00:00,COMPLETED,AMEND 39,Steam Turbine,,,Biofuel,,,10.5,,,10.5,,,Off-Peak Deliverability,,MERCED,CA,PGAE,,Merced #1 70 kV circuit,2006-07-01 07:00:00,,,,Complete,Complete,,Executed,completed,2009-05-18 07:00:00,,,
AVALON HYBRID,84,2005-11-22 00:00:00,2005-12-01 08:00:00,COMPLETED,Serial LGIP,Photovoltaic,,,Solar,,,100,,,100,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Whirlwind Sub 230kV Bus,2009-12-31 08:00:00,,,Waived,Complete,Complete,,Executed,completed,2019-11-09 08:00:00,,,
VOYAGER WIND,93,2006-02-15 00:00:00,2006-03-01 08:00:00,COMPLETED,Serial LGIP,Wind Turbine,,,Wind Turbine,,,220,,,220,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Windhub Substation 220kV bus,2008-12-31 08:00:00,,,Waived,Complete,Complete,,Executed,completed,2021-04-26 07:00:00,,,
CPC EAST,95,2006-02-10 00:00:00,2006-03-01 08:00:00,COMPLETED,Serial LGIP,Wind Turbine,,,Wind Turbine,,,550,,,550,,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Windhub Substation 220kV bus,2009-12-31 08:00:00,,,Waived,Complete,Complete,,Executed,completed,2012-02-14 08:00:00,,,
DIABLO CANYON P.P. UNIT 1,98,2006-03-09 00:00:00,2006-03-09 08:00:00,COMPLETED,TC,Steam Turbine,,,Nuclear,,,37,,,37,Full Capacity,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Diablo Canyon Substation Cirvuit Breakers 532 and 632,2005-12-08 08:00:00,,,,Complete,,,,completed,2005-12-31 08:00:00,,,
DIABLO CANYON P.P. UNIT 2,99,2006-03-29 00:00:00,2006-03-29 08:00:00,COMPLETED,Serial LGIP,Steam Turbine,,,Natural Gas,,,45,,,45,,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Diablo Canyon Substation Circuit Breakers 542 and 642,2006-06-08 07:00:00,,,,,,,,completed,2006-06-07 07:00:00,,,
SOLANO WIND PROJECT - PHASE 3 (230KV),108,2006-06-09 00:00:00,2006-06-09 07:00:00,COMPLETED,Serial LGIP,Wind Turbine,,,Wind Turbine,,,128,,,128,,,Off-Peak Deliverability,,SOLANO,CA,PGAE,,Lambie-Contra Costa 230 kV,2011-03-01 08:00:00,,,Required,Complete,Complete,Complete,Executed,completed,2012-03-04 08:00:00,,,
VOYAGER WIND 2,119,2006-08-08 00:00:00,2006-08-08 07:00:00,COMPLETED,Serial LGIP,Wind Turbine,,,Wind Turbine,,,500,,,500,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Windhub Sub 230kV Bus,2013-12-31 08:00:00,,,Required,Complete,Complete,,Executed,completed,2021-04-26 07:00:00,,,
MIRAMAR ENERGY FACILITY II,121,2006-08-16 00:00:00,2006-08-17 07:00:00,COMPLETED,Serial LGIP,Gas Turbine,,,Natural Gas,,,49,,,49,,,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,,Miramar GT Substation 69 kV,2009-03-31 07:00:00,,,Waived,Complete,Complete,,Executed,completed,2009-08-07 07:00:00,,,
MOJAVE SOLAR (FKA HARPER LAKE SOLAR),125,2006-08-22 00:00:00,2006-08-22 07:00:00,COMPLETED,Serial LGIP,Steam Turbine,,,Solar,,,250,,,250,Full Capacity,,Off-Peak Deliverability,,SAN BERNARDINO,CA,SCE,NOL,Coolwater-Kramer 230kv line,2010-08-01 07:00:00,,,Required,Complete,Complete,Complete,Executed,completed,2014-12-04 08:00:00,,,
DPT 1,131,2006-09-25 00:00:00,2006-09-25 07:00:00,COMPLETED,Serial LGIP,Steam Turbine,,,Solar,,,132,,,132,,,Off-Peak Deliverability,,SAN BERNARDINO,CA,SCE,NOL,Eldorado-Baker-Cool Water-Dunn Siding-Mountain Pass 115kV line,2010-06-30 07:00:00,,,Required,Complete,Complete,,Executed,completed,2013-12-30 08:00:00,,,
NORTH SKY RIVER WIND,132,2006-09-27 00:00:00,2006-09-27 07:00:00,COMPLETED,Serial LGIP,Wind Turbine,,,Wind Turbine,,,162,,,162,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Highwind Substation 230kV bus,2010-12-31 08:00:00,,,Required,Complete,Complete,Complete,Executed,completed,2012-12-07 08:00:00,,,
CARLSBAD 1,137,2006-10-16 00:00:00,2006-10-17 07:00:00,COMPLETED,Serial LGIP,Combined Cycle,,,Natural Gas,,,211,,,211,,,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,,Encina Substation 230 kV,2017-08-01 07:00:00,,,Waived,Complete,Complete,,Executed,completed,2018-11-19 08:00:00,,,
DESERT SUNLIGHT PV I,146,2006-11-16 00:00:00,2006-11-16 08:00:00,COMPLETED,Serial LGIP,Photovoltaic,Storage,,Solar,Battery,,250,230,,250,Partial Capacity,65,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,Eastern,Red Bluff Substation 230kV,2008-12-01 08:00:00,,,Required,Complete,Complete,,Executed,completed,,,,
DESERT SUNLIGHT PV II,147,2006-11-16 00:00:00,2006-11-16 08:00:00,COMPLETED,Serial LGIP,Photovoltaic,Storage,,Solar,Battery,,300,230,,300,Partial Capacity,65,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,Eastern,Red Bluff Substation 230kV,2010-02-01 08:00:00,,,Required,Complete,Complete,,Executed,completed,,,,
ENERGIA SIERRA JUAREZ WIND,159A,2006-12-06 00:00:00,2006-12-22 08:00:00,COMPLETED,Serial LGIP,Wind Turbine,,,Wind Turbine,,,256,,,256,Full Capacity,,Off-Peak Deliverability,,BAJA CALIFORNIA,MX,SDGE,,East County Substation 230 kV,2009-06-01 07:00:00,,,Required,Complete,Complete,,Executed,completed,2022-01-13 08:00:00,,,
DPT 2,162,2007-01-05 00:00:00,2007-01-05 08:00:00,COMPLETED,Serial LGIP,Steam Turbine,,,Solar,,,126,,,126,,,Off-Peak Deliverability,,SAN BERNARDINO,CA,SCE,NOL,Eldorado-Baker-Cool Water-Dunn Siding-Mountain Pass 115kV line,2010-06-30 07:00:00,,,Waived,Complete,Complete,,Executed,completed,2013-12-30 08:00:00,,,
DESERT STATELINE PROJECT,163,2007-01-09 00:00:00,2007-01-09 08:00:00,COMPLETED,TC,Photovoltaic,,,Solar,,,300,,,300,Full Capacity,,Off-Peak Deliverability,,SAN BERNARDINO,CA,SCE,EOP,Mountain Pass Substation 115kV,2010-12-31 08:00:00,,,,Complete,Complete,,Executed,completed,2016-08-30 07:00:00,,,
CALIFORNIA VALLEY PV,166,2007-01-23 00:00:00,2007-01-23 08:00:00,COMPLETED,Serial LGIP,Photovoltaic,,,Solar,,,210,,,210,,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Midway-Morrow Bay 230kV line,2010-12-31 08:00:00,,,Required,Re-Study,Complete,,Executed,completed,2014-10-27 07:00:00,,,
RISING TREE WIND FARM (FKA HOMESTEAD WIND FARM),188,2007-03-23 00:00:00,2007-03-23 07:00:00,COMPLETED,TC,Wind Turbine,,,Wind Turbine,,,198,,,198,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Windhub Substation 230kV,2013-12-15 08:00:00,,,,Complete,Complete,,Executed,completed,2015-06-25 07:00:00,,,
CARLSBAD 2,189,2007-03-30 00:00:00,2007-03-30 07:00:00,COMPLETED,Serial LGIP,Gas Turbine,,,Natural Gas,,,105.8,,,105.8,Full Capacity,,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,,Encina Substation 138 kV,2010-05-01 07:00:00,,,Waived,Complete,Complete,,Executed,completed,2019-06-10 07:00:00,,,
GENESIS MCCOY,193,2007-03-19 00:00:00,2007-04-04 07:00:00,COMPLETED,TC,Steam Turbine,Storage,,Solar,Battery,,500,230,,500,Partial Capacity,68.3,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,Eastern,Colorado River Substation 500kV,2010-12-31 08:00:00,,,,Complete,Complete,,Executed,completed,2021-06-30 07:00:00,,,
CARRIZO PLAIN SOLAR,194,2007-04-05 00:00:00,2007-04-05 07:00:00,COMPLETED,Serial LGIP,Photovoltaic,,,Solar,,,190,,,190,,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Morro Bay-Midway #1 & #2 lines 230kV ,2010-12-31 08:00:00,,,Required,Complete,Complete,,Executed,completed,2014-10-27 07:00:00,,,
ORANGE GROVE,201,2007-04-02 00:00:00,2007-04-19 07:00:00,COMPLETED,Serial LGIP,Gas Turbine,,,Natural Gas,,,99,,,99,,,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,,Pala Substation 69 kV,2008-05-31 07:00:00,,,Waived,Complete,Complete,,Executed,completed,2010-06-16 07:00:00,,,
IVANPAH SEGS 3,233,2007-06-27 00:00:00,2007-06-27 07:00:00,COMPLETED,Serial LGIP,Steam Turbine,,,Solar,,,132,,,132,,,Off-Peak Deliverability,,SAN BERNARDINO,CA,SCE,NOL,Ivanpah Substation 115kV,2013-06-30 07:00:00,,,Waived,Complete,Complete,,Executed,completed,2013-12-30 08:00:00,,,
CALIFORNIA VALLEY SOLAR RANCH (FKA CARRIZO SOLAR FARM II),239,2007-07-11 00:00:00,2007-07-11 07:00:00,COMPLETED,TC,Photovoltaic,,,Solar,,,250,,,250,Full Capacity,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Midway-Morro Bay 230kV line,2010-12-01 08:00:00,,,,Complete,Complete,,Executed,completed,2014-02-13 08:00:00,,,
DESERT TOPAZ PV 2,242,2007-07-13 00:00:00,2007-07-13 07:00:00,COMPLETED,TC,Photovoltaic,,,Solar,,,150,,,150,Full Capacity,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Morro Bay-Midway 230kV line,2012-09-01 07:00:00,,,,Complete,Complete,,Executed,completed,2014-10-27 07:00:00,,,
AES REDONDO BEACH UNIT 7,252,2007-07-11 00:00:00,2007-08-06 07:00:00,COMPLETED,Serial LGIP,Steam Turbine,,,Natural Gas,,,25.96,,,25.96,,,Off-Peak Deliverability,,LOS ANGELES,CA,SCE,Metro,Redondo Beach Generating Station 220kV switchyard,2007-05-23 07:00:00,,,Waived,,,,Executed,completed,2010-02-07 08:00:00,,,
CALRENEW-1(A),261A,2007-10-09 00:00:00,2007-10-09 07:00:00,COMPLETED,AMEND 39,Photovoltaic,,,Solar,,,5,,,5,,,Off-Peak Deliverability,,FRESNO,CA,PGAE,,Mendota-San Joaquin-Helm 70kV line,2009-04-15 07:00:00,,,,,,,Executed,completed,2010-04-20 07:00:00,,,
LODI ENERGY CENTER,267,2007-10-23 00:00:00,2007-10-23 07:00:00,COMPLETED,Serial LGIP,Combined Cycle,,,Natural Gas,,,280,,,280,,,Off-Peak Deliverability,,SAN JOAQUIN,CA,PGAE,,Gold Hill-Eight Mile 230kV lines,2012-04-16 07:00:00,,,Required,Unexpected,Complete,,Executed,completed,2012-07-16 07:00:00,,,
PALOMAR ENERGY CENTER EXPANSION,274,2007-11-05 00:00:00,2007-11-05 08:00:00,COMPLETED,Serial LGIP,Combined Cycle,,,Natural Gas,,,54,,,54,,,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,,Palomar Energy Switchyard 230 kV,2008-08-25 07:00:00,,,Waived,Complete,Complete,,Executed,completed,2008-08-24 07:00:00,,,
DRACKER SOLAR,294,2008-01-15 00:00:00,2008-01-16 08:00:00,COMPLETED,TC,Photovoltaic,Storage,,Solar,Battery,,485,340,,485,Partial Capacity,75.2,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,,Colorado River Substation 220kV,2012-06-01 07:00:00,,,,Complete,Complete,,Executed,completed,,,,
ALPAUGH PV SOLAR GENERATION FACILITY,304,2008-02-28 00:00:00,2008-02-28 08:00:00,COMPLETED,TC,Photovoltaic,,,Solar,,,50,,,50,Full Capacity,,Off-Peak Deliverability,,TULARE,CA,PGAE,,Smyrna-Alpaugh 115kV line,2010-05-03 07:00:00,,,,Complete,Complete,,Executed,completed,2013-03-08 08:00:00,,,
MARSH LANDING GENERATION STATION - SIMPLE CYCLE UNITS,320,2008-03-12 00:00:00,2008-03-12 07:00:00,COMPLETED,TC,Combustion Turbine,,,Natural Gas,,,100,,,100,Full Capacity,,Off-Peak Deliverability,,CONTRA COSTA,CA,PGAE,,Contra Costa Substation 230kV switchyard,2013-05-01 07:00:00,,,,Complete,Complete,,Executed,completed,2013-05-01 07:00:00,,,
MARIPOSA ENERGY PROJECT (FKA DGC KELSO CT),334,2008-04-04 00:00:00,2008-04-04 07:00:00,COMPLETED,TC,Combustion Turbine,,,Natural Gas,,,195.9,,,195.9,Full Capacity,,Off-Peak Deliverability,,ALAMEDA,CA,PGAE,,Kelso Substation 230kV bus,2012-06-01 07:00:00,,,,Complete,Complete,,Executed,completed,2012-06-30 07:00:00,,,
BORREGO SOLAR I,337,2008-04-02 00:00:00,2008-04-18 07:00:00,COMPLETED,TC,Photovoltaic,,,Solar,,,26,,,25.75,Full Capacity,,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,,Borrego Substation 69 kV,2011-04-01 07:00:00,,,,Complete,Complete,,Executed,completed,2013-02-12 08:00:00,,,
ATWELL ISLAND PV SOLAR GENERATING FACILITY,340,2008-04-02 00:00:00,2008-04-22 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,TULARE,CA,PGAE,,Smyrna-Alpaugh 115kV line,2010-05-01 07:00:00,,,System Impact Study,Facilities Study,SGIA,,Executed,completed,2013-03-08 08:00:00,,,
CUYAMA SOLAR,356,2008-04-28 00:00:00,2008-04-28 07:00:00,COMPLETED,TC,Photovoltaic,,,Solar,,,40,,,40,Full Capacity,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Taft-Cuyama #1 70kV line,2012-04-01 07:00:00,,,,Complete,Complete,,Executed,completed,2017-11-30 08:00:00,,,
ALMASOL,365,2008-05-06 00:00:00,2008-05-12 07:00:00,COMPLETED,TC,Photovoltaic,Storage,,Solar,Battery,,457,50,,457,Full Capacity,,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,Eastern,Red Bluff Substation 230kV,2013-12-28 08:00:00,,,,Complete,Complete,,Executed,completed,2022-06-27 07:00:00,,,
SOLAR STAR 1 ,407,2008-05-30 00:00:00,2008-05-30 07:00:00,COMPLETED,TC,Photovoltaic,,,Solar,,,310,,,310,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Cottonwind-Whirlwind 230kV line,2012-07-01 07:00:00,,,,Complete,Complete,,Executed,completed,2015-06-08 07:00:00,,,
SOLAR STAR 2,408,2008-05-30 00:00:00,2008-05-30 07:00:00,COMPLETED,TC,Photovoltaic,,,Solar,,,276,,,276,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Cottonwind-Whirlwind 230kV line,2012-07-01 07:00:00,,,,Complete,Complete,,Executed,completed,2015-06-25 07:00:00,,,
AV SOLAR ONE PROJECT,412,2008-05-30 00:00:00,2008-05-30 07:00:00,COMPLETED,TC,Photovoltaic,,,Solar,,,250,,,250,Full Capacity,,Off-Peak Deliverability,,LOS ANGELES,CA,SCE,Northern,Whirlwind Substation 230kV,2012-08-01 07:00:00,,,,Complete,Complete,,Executed,completed,2014-06-19 07:00:00,,,
SLOTH,421,2008-05-30 00:00:00,2008-05-30 07:00:00,COMPLETED,TC,Photovoltaic,Storage,,Solar,Battery,,49.5,15,,49.5,Partial Capacity,,Off-Peak Energy Only,,RIVERSIDE,CA,SCE,Eastern,Red Bluff Substation 220kV,2012-02-01 08:00:00,,,,Complete,Complete,,Executed,completed,2024-03-26 07:00:00,,,
WISTARIA RANCH SOLAR ENERGY,429,2008-05-30 00:00:00,2008-05-30 07:00:00,COMPLETED,TC,Photovoltaic,,,Solar,,,100,,,100,Full Capacity,,Off-Peak Deliverability,,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,2014-07-01 07:00:00,,,,Complete,Complete,,Executed,completed,2018-11-06 08:00:00,,,
CENTINELA SOLAR ENERGY,442,2008-05-30 00:00:00,2008-05-30 07:00:00,COMPLETED,TC,Photovoltaic,,,Solar,,,125,,,125,Full Capacity,,Off-Peak Deliverability,,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,2013-10-01 07:00:00,,,,Complete,Complete,,Executed,completed,2014-07-30 07:00:00,,,
SILVER STATE SOUTH SOLAR PROJECT,467,2008-05-30 00:00:00,2008-06-02 07:00:00,COMPLETED,TC,Steam Turbine,Storage,,Solar,Battery,,230,200,,230,Full Capacity,,Off-Peak Deliverability,,CLARK,NV,SCE,EOP,Eldorado-Ivanpah 230kV line,2012-08-01 07:00:00,,,,Complete,Complete,,Executed,completed,2016-08-23 07:00:00,,,
AGUA CALIENTE,468,2008-05-30 00:00:00,2008-06-02 07:00:00,COMPLETED,TC,Photovoltaic,,,Solar,,,290,,,290,Energy Only,,Off-Peak Deliverability,,YUMA,AZ,SDGE,,Hoodoo Wash Switchyard 500 kV,2012-08-01 07:00:00,,,,Complete,Complete,,Executed,completed,2014-06-10 07:00:00,,,
BLUE LAKE POWER,472,2010-11-20 00:00:00,2008-08-11 07:00:00,COMPLETED,SGIP,Steam Turbine,Steam Turbine,,Biofuel,Biofuel,,11,0,,0,Full Capacity,,Off-Peak Deliverability,,,,PGAE,,Blue Lake Power Substation,2008-12-20 08:00:00,,,,,,,Executed,completed,2010-09-09 07:00:00,,,
ALPAUGH NORTH PV SOLAR GENERATING FACILITY,473,2008-09-03 00:00:00,2008-09-12 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,TULARE,CA,PGAE,,Smyrna-Alpaugh 115kV line,2010-05-01 07:00:00,,,,Facilities Study,SGIA,,Executed,completed,2013-03-08 08:00:00,,,
AMERESCO BUTTE COUNTY LANDFILL,477,2009-02-02 00:00:00,2009-02-06 08:00:00,COMPLETED,SGIP,Reciprocating Engine,,,Biofuel,,,4,,,4,Energy Only,,Off-Peak Deliverability,,BUTTE,CA,PGAE,,Centerville-Table Mountain 60kV line,2010-03-31 07:00:00,,,,,SGIA,,Executed,completed,2012-05-15 07:00:00,,,
CORCORAN PV GENERATION FACILITY,478,2009-02-17 00:00:00,2009-02-17 08:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,KINGS,CA,PGAE,,Corcoran-Kingsburg 115kV #2 line,2011-11-01 07:00:00,,,,Facilities Study,SGIA,,Executed,completed,2013-08-14 07:00:00,,,
WHITE RIVER PV 20MVA SOLAR GENERATION FACILITY,479,2009-03-13 00:00:00,2009-03-13 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,TULARE,CA,PGAE,,Smyrna-Alpaugh 115kV line,2011-10-01 07:00:00,,,,Facilities Study,SGIA,,Executed,completed,2013-06-25 07:00:00,,,
BVBP REPOWERING PROJECT,481,2009-04-06 00:00:00,2009-04-20 07:00:00,COMPLETED,SGIP,Steam Turbine,,,Biofuel,,,18.4,,,18.4,Energy Only,,Off-Peak Deliverability,,AMADOR,CA,PGAE,,Valley Springs-Martel #2 60kV line,2010-04-01 07:00:00,,,,Facilities Study,SGIA,,Executed,completed,2012-01-30 08:00:00,,,
ATWELL WEST PV SOLAR GENERATING FACILITY,482,2009-04-24 00:00:00,2009-04-24 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,TULARE,CA,PGAE,,Smyrna-Alpaugh 115kV line,2012-08-01 07:00:00,,,,Facilities Study,SGIA,,Executed,completed,2015-06-11 07:00:00,,,
LOST HILLS SOLAR,484,2009-06-11 00:00:00,2009-06-11 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,SAN FRANCISCO,CA,PGAE,,Arco-Carneras 70 kV Line,2013-12-31 08:00:00,,,,Facilities Study,SGIA,,Executed,completed,2015-04-10 07:00:00,,,
TULLOCH POWERHOUSE,495,2009-07-24 00:00:00,2009-07-31 07:00:00,COMPLETED,C01,Hydro,,,Water,,,7.2,,,7.2,Full Capacity,,Off-Peak Deliverability,,TUOLUMNE,CA,PGAE,,Tulloch 115kV tap,2011-10-01 07:00:00,,,,Complete,Complete,,Executed,completed,2012-03-31 07:00:00,,,
SILVER STATE SOUTH SOLAR PROJECT (FKA SILVER STATE SOLAR II),502,2009-07-28 00:00:00,2009-07-31 07:00:00,COMPLETED,C01,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,CLARK,NV,SCE,EOP,Eldorado-Ivanpah 230kV line,2016-05-01 07:00:00,,,,Complete,Complete,,Executed,completed,2016-08-23 07:00:00,,,
