queue_number,project_number,project_name,fuel_1,fuel_2,fuel_3,mw_1,mw_2,mw_3,net_mw,county,state,study_area,pto,poi,voltage_kv,requested_cod,queue_date,application_date,withdrawal_date,service_type,status,days_queue_to_withdrawal,days_app_to_withdrawal,technology,is_withdrawn,is_active
2216,54862,Fika,Storage/Battery,,,258.47,,,258.47,Merced,CA,PG&E FRESNO,PGAE,QUINTO SW STA 230 kV,230,2029-06-30,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2323,54719,Fontus,Storage/Battery,,,513.99,,,513.99,San Bernardino,CA,SCE METRO,SCE,RANCHO VISTA 230 kV,230,2031-03-31,,2024-11-22,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2209,54643,Fornax,Storage/Battery,Photovoltaic/Solar,,103.125,103.125,,206.25,Fresno,CA,PG&E FRESNO,PGAE,TRANQUILLITY SW STA 230 kV,230,2031-12-01,,2024-11-20,,Energy Only Requested,active,,,other,0,1
2297,54693,Galadriel,Storage/Battery,,,317.5,,,317.5,Madera,CA,PG&E GBA,PGAE,TESLA 230 kV,230,2031-03-31,,2024-11-22,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2325,54577,Galicia Storage,Storage/Battery,,,505.6459,,,505.6459,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-10-01,,2024-11-12,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2300,54629,GAMAY,Photovoltaic/Solar,Storage/Battery,,200.0,200.0,,400.0,KERN,CA,PG&E KERN,PGAE,ARCO-MIDWAY,230,2031-12-31,,2024-11-26,,Energy Only Requested,active,,,other,0,1
2223,54916,Geras,Photovoltaic/Solar,Storage/Battery,,133.82,133.76,,267.58,Stanislaus County,CA,PG&E FRESNO,PGAE,FINK SW STA 230 kV,230,2028-06-01,,2024-11-20,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2273,54768,Goldlink,Photovoltaic/Solar,,,353.8145,,,353.8145,Nye,NV,SCE EOP,GLW,LATHROP 230 kV (FUTURE),230,2030-06-01,,2024-11-15,,Energy Only Requested,active,,,other,0,1
2313,54702,Gosford Solar Storage,Photovoltaic/Solar,,,304.630524,,,304.630524,Kern,CA,PG&E KERN,PGAE,BITTERWATER SW STA 230 kV ,230,2029-03-30,,2024-11-21,,Energy Only Requested,active,,,other,0,1
2238,54945,Grapevine 1,Photovoltaic/Solar,,,204.58,,,204.58,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2031-06-01,,2024-11-18,,Energy Only Requested,active,,,other,0,1
2368,54832,Green Palms,Photovoltaic/Solar,,,306.7,,,306.7,Riverside,CA,SCE EASTERN,SCE,COLORADO RIVER 230 kV,230,2030-12-31,,2024-11-15,,Energy Only Requested,active,,,other,0,1
